,version_number,step,mse_loss,FC_CORR_mse,FC_L1_mse,FCD_KS_mse
0,74,216018.0,0.010679139755666256,0.009116707369685173,0.012036456726491451,0.010884234681725502
1,65,140300.0,0.012074107304215431,0.01037566363811493,0.013904557563364506,0.011942089535295963
2,56,146981.0,0.012202042154967785,0.010659621097147465,0.01407948974519968,0.01186701562255621
3,26,218245.0,0.012288147583603859,0.01062552910298109,0.013904902152717113,0.012334016151726246
4,1,178159.0,0.012727288529276848,0.010910125449299812,0.014313858933746815,0.0129578597843647
5,47,191521.0,0.012858416885137558,0.01089803222566843,0.014892707578837872,0.012784508056938648
6,11,164797.0,0.013183857314288616,0.011222496628761292,0.015517646446824074,0.01281143631786108
7,8,153662.0,0.013271354138851166,0.011323499493300915,0.015139175578951836,0.01335140410810709
8,83,178159.0,0.013754804618656635,0.011597583070397377,0.016007769852876663,0.013659033924341202
9,4,216018.0,0.015069733373820782,0.012844196520745754,0.01726040057837963,0.015104619786143303
