,version_number,step,mse_loss,FC_CORR_mse,FC_L1_mse,FCD_KS_mse
0,0,204883.0,0.018649065867066383,0.015566815622150898,0.021133797243237495,0.01924659125506878
1,51,155889.0,0.019354864954948425,0.01568419113755226,0.0210720207542181,0.021308356896042824
2,57,173705.0,0.02019522152841091,0.015679089352488518,0.021140195429325104,0.02376639097929001
3,76,115803.0,0.02130775712430477,0.01770135760307312,0.025192948058247566,0.021028975024819374
4,1,135846.0,0.021620335057377815,0.017946535721421242,0.02612362802028656,0.0207908283919096
5,3,175932.0,0.024634748697280884,0.020654860883951187,0.029692748561501503,0.02355661429464817
6,70,51220.0,0.030347000807523727,0.02502686157822609,0.036177653819322586,0.029836496338248253
7,12,35631.0,0.032247815281152725,0.02612476609647274,0.03651590645313263,0.03410273790359497
8,42,2226.0,0.042756564915180206,0.03026142530143261,0.049638498574495316,0.04836980625987053
9,2,115803.0,0.046838197857141495,0.03607684746384621,0.05765595659613609,0.04678177833557129
