version_number,step,mse_loss,FC_CORR_mse,FC_L1_mse,FCD_KS_mse
44,8907.0,0.04934458062052727,0.037241190671920776,0.05952827259898186,0.05126439779996872
4,86852.0,0.05445411428809166,0.040207210928201675,0.06393752992153168,0.05921764671802521
51,53447.0,0.0550210140645504,0.04070458188652992,0.06457507610321045,0.05978331342339516
1,26723.0,0.058039356023073196,0.04261131212115288,0.06936921924352646,0.06213753670454025
0,28950.0,0.061605386435985565,0.04597257822751999,0.07182145118713379,0.06702221184968948
32,22269.0,0.06188906356692314,0.04525480046868324,0.07413895428180695,0.06627354025840759
85,2226.0,0.06250147521495819,0.0473952479660511,0.0767727941274643,0.06333637237548828
92,6680.0,0.06543532013893127,0.048979226499795914,0.07805633544921875,0.06927037984132767
2,158116.0,0.06674802303314209,0.05002278462052345,0.07992323487997055,0.0702981948852539
3,73490.0,0.06918245553970337,0.050930872559547424,0.0812467634677887,0.07536976039409637
