version_number,step,mse_loss,FC_CORR_mse,FC_L1_mse,FCD_KS_mse
1,15588.0,0.05931946262717247,0.043931808322668076,0.06683172285556793,0.06719488650560379
27,57901.0,0.05966271460056305,0.043084148317575455,0.06827235966920853,0.0676315650343895
41,20042.0,0.06105581670999527,0.046167485415935516,0.07179556041955948,0.0652044266462326
44,35631.0,0.06284157186746597,0.04709038883447647,0.07324209064245224,0.06819203495979309
29,71263.0,0.06311827898025513,0.04584035649895668,0.07369150221347809,0.06982294470071793
8,44539.0,0.06318330019712448,0.04684043675661087,0.07284478843212128,0.06986469030380249
4,158116.0,0.06320689618587494,0.046445149928331375,0.0745760053396225,0.06859966367483139
11,80171.0,0.06376755982637405,0.04652763158082962,0.07173921912908554,0.07303579896688461
0,22269.0,0.06476333737373352,0.047470010817050934,0.07476530969142914,0.07205468416213989
3,97987.0,0.06662070751190186,0.049627795815467834,0.0789644718170166,0.07126975804567337
