version_number,step,mse_loss,FC_CORR_mse,FC_L1_mse,FCD_KS_mse
19,82398.0,0.03798229619860649,0.030395513400435448,0.04389096423983574,0.039660368114709854
96,48993.0,0.03834926709532738,0.02855997532606125,0.04118547588586807,0.045302312821149826
0,60128.0,0.03837236389517784,0.030902892351150513,0.044149477034807205,0.04006478190422058
28,48993.0,0.041327085345983505,0.03277573361992836,0.04704352840781212,0.04416199028491974
4,191521.0,0.041917476803064346,0.031971000134944916,0.048115089535713196,0.04566635936498642
87,149208.0,0.04193272814154625,0.03011941909790039,0.043325275182724,0.05235343798995018
14,138073.0,0.04221019148826599,0.0324380062520504,0.046855900436639786,0.04733669385313988
8,93533.0,0.04246695339679718,0.03363928571343422,0.05062935873866081,0.04313228279352188
42,158116.0,0.042763520032167435,0.03295961767435074,0.04696717485785484,0.04836380481719971
91,140300.0,0.04280940443277359,0.030761271715164185,0.044986024498939514,0.05268089473247528
