FC_CORR,SC_correlation
0.9888897153728867,0.9992206201398978
0.9890464321855027,0.9987694282753293
0.9864862054289064,0.9981739700997112
0.9886288566547479,0.9974477728429533
0.9865538258345906,0.9973139200554348
0.9898251971136292,0.9970912626618575
0.9906511875465382,0.9967825013887122
0.987144679015662,0.9971902540700576
0.9732283642326464,0.9968524491824824
0.9889351193471171,0.9963351780573808
0.9647467285497576,0.9972327142952973
0.9591850872265265,0.9969360311421721
0.9866799314143616,0.9970873577069744
0.9897337859094064,0.996918820952361
0.9889843977901038,0.9968266475382744
0.988602785813705,0.9968969653344576
0.9871506805554131,0.9972467992869604
0.9898249100481429,0.9973694377013171
0.9900383663142915,0.9968499677036899
0.9905496557096992,0.996597624229971
0.9873480868466509,0.9966351303968484
0.9894792028209866,0.9968024237193664
0.9885054678282723,0.9967358745634621
0.9894368512619967,0.996724898839164
0.9873802532841673,0.9966625054454493
0.9879859899825144,0.9965683495722213
0.9877390105100465,0.996625484351891
0.9894067652725662,0.99646991802724
0.9880078427785672,0.996265148857252
0.9878997529212392,0.996731196346414
0.9907829405367056,0.997005127067977
0.988231727080792,0.9962329201985968
0.9895065921159952,0.9968142248908752
0.98778842867586,0.9971797195433107
0.9885863165584566,0.9967359560615888
0.9886703217601861,0.9974073040136355
0.9876090847623316,0.9971845027758888
0.9868634261929324,0.9968590839506593
0.9882976892776094,0.9966696077736255
0.9883611144237837,0.9969403875221966
0.9902583673096755,0.9969905542150269
0.986956177194842,0.9971235125958896
0.9880979930209208,0.9969001129900951
0.9861229387937372,0.9970734301962236
0.9678340715189182,0.9971624507534647
0.9874645655013498,0.9963898216598189
0.9885582067540861,0.996652566688724
0.9881666142791182,0.9964741591755165
0.9891966116986973,0.9968026320354045
0.9881998306841102,0.9970704729568717
0.9864641549463106,0.9972160169341792
0.9899418292602665,0.9967551278089578
0.9878653049238931,0.9968696431420091
0.9902933410457408,0.9967974220945394
0.989257056532958,0.9969890527928528
0.9906298885372556,0.9970266801657498
0.988710726340477,0.9967486503891712
0.989945295882599,0.99645443477806
0.9891190453367034,0.9963331518648167
0.9865050313775581,0.9963174462858457
0.9888941217653892,0.9962362592678897
0.9869894677120624,0.9960819245884904
0.989773568225292,0.996146231609826
0.9893424116322904,0.9960025157812614
0.9895827324288563,0.9964014897826787
0.987260772861293,0.9970797226122344
0.9912593947548752,0.9971269644273901
0.9898006748006029,0.9975080064217896
0.9883844232609618,0.9975558928614529
0.9884895640422813,0.9970815130445507
0.9864827513947328,0.9992670105015392
0.9860000657878861,0.998578121257215
0.9866807157647598,0.9977673349616819
0.9871683394988093,0.9975759534681296
0.9883290003420259,0.9970484540634589
0.9899016623929937,0.9966908452784113
0.9875966008674666,0.9971296877237834
0.9754480043362576,0.9969518550446994
