FCD_KS,param_correlation
0.1855734197305266,0.9978529160898147
0.2159494429078656,0.9924424683803874
0.12045605162050792,0.999739759356647
0.1280230235921352,0.9949838444993113
0.22815188267833436,0.9945816320471923
0.12125873834686891,0.9970615441769785
0.112814320238692,0.9934462072099982
0.1960447339298498,0.990895702224637
0.315481315752807,0.9510524387823763
0.2735983651583993,0.9949890162016638
0.2203824132811662,0.9954369997715005
0.08783353058841804,0.9953062925706772
0.19118921593906496,0.9968481389618808
0.09412856760777895,0.9976373379445941
0.17026004039058107,0.9925608521756243
0.23721282569110008,0.995623770454742
0.29388539132579444,0.9969822473468226
0.08245802790825797,0.9942127979067725
0.0921575328754026,0.9927972464746333
0.10462601877313212,0.9985596476908192
0.2227448618920793,0.9988785854255523
0.10455215621962095,0.9969681494296257
0.15582308220812519,0.9952066824288266
0.19184270415100507,0.9965475065302768
0.1254951049242236,0.9982497498785395
0.20157443189734836,0.9949707907870805
0.37005427584428646,0.9988424732949027
0.06553280493527418,0.9961238103097924
0.3261551914388624,0.998068151960803
0.2020748138622012,0.9905202828312655
0.07161772124733545,0.9930370180329144
0.1689127694774048,0.9943780537906912
0.25007631289407645,0.9928064171256712
0.19356415648227185,0.9895236447466713
0.12878067530104756,0.9916938571200585
0.2450760806722581,0.9903605390981524
0.11085622586694809,0.9924125253835472
0.08113029565841293,0.9923989116206823
0.24864473745321528,0.9890290489866808
0.8704479638951126,0.7990292505922801
0.07347357395784451,0.8042737835924619
0.1875733460601567,0.808808272563822
0.06643728489453124,0.8024266827173185
0.135727791186141,0.7928705285541322
0.1445025087964023,0.8112242342325374
0.2331035565171852,0.7888780713039311
0.12829861483689217,0.8150322804213995
0.18155287530649272,0.8145511502454218
0.1198191552571016,0.8068324649170867
0.1278852279697567,0.9864139175878383
0.2860872865761375,0.9637768910203964
0.17010097645270764,0.9753007632314095
0.23544749144382715,0.9811224197449656
0.07364717978613171,0.974218875896584
0.247746599551892,0.9833500533330096
